match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
23457,1999-03-31,San Marino,Spain,0.0,6.0,UEFA Euro qualification,Serravalle,San Marino,False
23458,1999-03-31,Scotland,Czech Republic,1.0,2.0,UEFA Euro qualification,Glasgow,Scotland,False
23459,1999-03-31,Slovakia,Hungary,0.0,0.0,UEFA Euro qualification,Bratislava,Slovakia,False
23460,1999-03-31,Switzerland,Wales,2.0,0.0,UEFA Euro qualification,Zürich,Switzerland,False
23461,1999-03-31,Ukraine,Iceland,1.0,1.0,UEFA Euro qualification,Kyiv,Ukraine,False
23462,1999-04-03,Eswatini,Namibia,1.0,1.0,Friendly,Mbabane,Swaziland,False
23463,1999-04-03,Mali,Burkina Faso,5.0,2.0,Friendly,Bamako,Mali,False
23464,1999-04-09,Algeria,Liberia,4.0,1.0,African Cup of Nations qualification,Annaba,Algeria,False
23465,1999-04-10,Gabon,South Africa,1.0,0.0,African Cup of Nations qualification,Libreville,Gabon,False
23466,1999-04-10,Mauritius,Angola,1.0,1.0,African Cup of Nations qualification,Curepipe,Mauritius,False
23467,1999-04-10,Uganda,Tunisia,0.0,2.0,African Cup of Nations qualification,Kampala,Uganda,False
23468,1999-04-10,Zambia,Kenya,1.0,0.0,African Cup of Nations qualification,Lusaka,Zambia,False
23469,1999-04-11,Burkina Faso,Burundi,3.0,1.0,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False
23470,1999-04-11,DR Congo,Madagascar,2.0,0.0,African Cup of Nations qualification,Kinshasa,DR Congo,False
23471,1999-04-11,Ivory Coast,Congo,2.0,0.0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
23472,1999-04-11,Mali,Namibia,2.0,1.0,African Cup of Nations qualification,Bamako,Mali,False
23473,1999-04-11,Morocco,Togo,1.0,1.0,African Cup of Nations qualification,Rabat,Morocco,False
23474,1999-04-11,Mozambique,Cameroon,1.0,6.0,African Cup of Nations qualification,Maputo,Mozambique,False
23475,1999-04-13,Saint Vincent and the Grenadines,Grenada,2.0,1.0,Friendly,Kingstown,Saint Vincent and the Grenadines,False
23476,1999-04-14,Mexico,Ecuador,0.0,0.0,Friendly,Monterrey,Mexico,False
23477,1999-04-15,Venezuela,Colombia,1.0,1.0,Friendly,Caracas,Venezuela,False
23478,1999-04-17,Saint Lucia,Martinique,3.0,1.0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,True
23479,1999-04-17,Saint Vincent and the Grenadines,Saint Kitts and Nevis,3.0,4.0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
23480,1999-04-18,Martinique,Saint Kitts and Nevis,2.0,1.0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,True
23481,1999-04-18,Saint Vincent and the Grenadines,Saint Lucia,2.0,2.0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
23482,1999-04-20,Saint Kitts and Nevis,Saint Lucia,4.0,3.0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,True
23483,1999-04-22,India,Bangladesh,0.0,0.0,SAFF Cup,Margao,India,False
23484,1999-04-22,Paraguay,Colombia,0.0,2.0,Friendly,Luque,Paraguay,False
23485,1999-04-23,Sri Lanka,Maldives,0.0,0.0,SAFF Cup,Margao,India,True
23486,1999-04-24,Malawi,Angola,1.0,2.0,COSAFA Cup qualification,Blantyre,Malawi,False
23487,1999-04-24,Pakistan,Bangladesh,0.0,4.0,SAFF Cup,Margao,India,True
23488,1999-04-25,Eswatini,Lesotho,4.0,1.0,Friendly,Lobamba,Swaziland,False
23489,1999-04-25,Sri Lanka,Nepal,2.0,3.0,SAFF Cup,Margao,India,True
23490,1999-04-26,India,Pakistan,2.0,0.0,SAFF Cup,Margao,India,False
23491,1999-04-27,Nepal,Maldives,2.0,3.0,SAFF Cup,Margao,India,True
23492,1999-04-27,Northern Ireland,Canada,1.0,1.0,Friendly,Belfast,Northern Ireland,False
23493,1999-04-28,Austria,San Marino,7.0,0.0,UEFA Euro qualification,Graz,Austria,False
23494,1999-04-28,Bolivia,Chile,1.0,1.0,Friendly,Cochabamba,Bolivia,False
23495,1999-04-28,Croatia,Italy,0.0,0.0,Friendly,Zagreb,Croatia,False
23496,1999-04-28,Denmark,South Africa,1.0,1.0,Friendly,Copenhagen,Denmark,False
23497,1999-04-28,Georgia,Norway,1.0,4.0,UEFA Euro qualification,Tbilisi,Georgia,False
23498,1999-04-28,Germany,Scotland,0.0,1.0,Friendly,Bremen,Germany,False
23499,1999-04-28,Greece,Switzerland,1.0,1.0,Friendly,Athens,Greece,False
23500,1999-04-28,Hungary,England,1.0,1.0,Friendly,Budapest,Hungary,False
23501,1999-04-28,Latvia,Albania,0.0,0.0,UEFA Euro qualification,Riga,Latvia,False
23502,1999-04-28,Malta,Iceland,1.0,2.0,Friendly,Attard,Malta,False
23503,1999-04-28,Netherlands,Morocco,1.0,2.0,Friendly,Arnhem,Netherlands,False
23504,1999-04-28,Paraguay,Mexico,2.0,1.0,Friendly,Pedro Juan Caballero,Paraguay,False
23505,1999-04-28,Poland,Czech Republic,2.0,1.0,Friendly,Warsaw,Poland,False
23506,1999-04-28,Republic of Ireland,Sweden,2.0,0.0,Friendly,Dublin,Republic of Ireland,False
23507,1999-04-28,Romania,Belgium,1.0,0.0,Friendly,Bucharest,Romania,False
23508,1999-04-28,Slovenia,Finland,1.0,1.0,Friendly,Ljubljana,Slovenia,False
23509,1999-04-29,Bangladesh,Nepal,2.0,1.0,SAFF Cup,Margao,India,True
23510,1999-04-29,India,Maldives,2.0,1.0,SAFF Cup,Margao,India,False
23511,1999-05-01,India,Bangladesh,2.0,0.0,SAFF Cup,Margao,India,False
23512,1999-05-01,Maldives,Nepal,2.0,0.0,SAFF Cup,Margao,India,True
23513,1999-05-03,Guernsey,Jersey,2.0,0.0,Muratti Vase,Saint Sampson,Guernsey,False
23514,1999-05-04,Curaçao,Grenada,1.0,3.0,CFU Caribbean Cup qualification,Willemstad,Curaçao,False
23515,1999-05-05,Bermuda,Bahamas,6.0,0.0,CFU Caribbean Cup qualification,Hamilton,Bermuda,False
23516,1999-05-05,Cuba,Cayman Islands,4.0,1.0,CFU Caribbean Cup qualification,Hamilton,Bermuda,True
23517,1999-05-05,Spain,Croatia,3.0,1.0,Friendly,Seville,Spain,False
23518,1999-05-06,Grenada,Suriname,0.0,0.0,CFU Caribbean Cup qualification,Willemstad,Curaçao,True
23519,1999-05-06,Trinidad and Tobago,South Africa,2.0,0.0,Friendly,Port of Spain,Trinidad and Tobago,False
